schoolCode,schoolName,contactNumber
GU017,Al Madrasa-Tus-Saifiya-Tul-Burhaniah Mohammadi Baug  Opp. Railway StationJunction Road  Rajkot  India,"0281-2446461
"
GU018,Smt. S.M. Vaghasia English Medium School Chakkargadh Road Amreli  India,"02792-232321-6
"
GU019,Lalji Mehrotra Lions School At. Ognaj  Nr. Lions Eye Hospital  Off. Sarkhej-Gandhinagar Highway  Ahmedabad  India,"6359058666
"
GU020,S. N. V. International School Nadiad -uttarsanda -bhumel Road  Nadiad  Kheda  India,"0268-2587270
"
GU021,Anand Niketan B/h Fun Republic  S.g. HighwaySatellite  Ahmedabad  India,"9737047602
"
GU022,The New Tulip International School Sterling City  Bopal  Ahmedabad  India,"02717-329210
"
GU023,Ryan International School Nh - 6  Tapti Railway Crossing  Block No. 282  Village KareliTaluka Palsana  Surat  India,"02622-263757
"
GU024,Saint Paul's School Post Box No. 1519  Saurashtra University P. O.  Rajkot  India,"0281-2587759
"
GU025,Billabong High International School Vadsar Kalali Ring Road  Opp. B.P. Petrol PumpNear Royal Acres  Vadodara  India,"0265-2630800
"
GU027,Divine International School Nikol-naroda Road  Near Shukan BungalowsNikol  Ahmedabad  India,"079-65212362
"
GU028,Swaminarayan Dham International School Dholakuva Road  P.o. Indroda  Gandhinagar  India,"9979884471
"
GU030,Vapi Public School Survey No. 574/1  Vatar Main Road  VatarVapi  Valsad  India,"+91-9687632690
"
GU031,Madhav International School Pranaminagar  Vastral  Ahmedabad  India,"9825029149
"
GU032,Mother Teresa World School 663  Vadsar  Near Air Force Station  Gandhinagar  India,"0990925533
"
GU033,Angel English Medium School Plot No  97Tadkuwa Village  VyaraVyara  Surat  India,
GU034,Redbricks School Block No.1385 &1386  Near Narmada Canal  Gandhinagar  India,"+919099900082
"
GU035,S. B. Sharma World School Behind M. P. Shah Old Age Home  On Road  Opposite To Jain Derasar  Jamnagar  India,"+919375122123
"
GU036,Shemford Futuristic School Vidyagram R.h.patel Technical Campus  Anand  India,"02692245099
"
GU037,Dr. Vijaypat Singhania School Next To Raymond Company  N. H. No: 8  Valsad  India,"+919099093581
"
